text,true_label,predicted_label,confidence,correct
GENT We are trying to contact you Last weekends draw shows that you won a 1000 prize GUARANTEED Call 09064012160 Claim Code K52 Valid 12hrs only 150ppm,1,1,0.9436761634361854,True
Roger that Were probably going to rem in about 20,0,0,0.9212261351973835,True
I am not having her number sir,0,0,0.9699177237101194,True
Come aftr ltDECIMALgt now i m cleaning the house,0,0,0.8997842763565935,True
But am going to college pa What to do are else ill come there it self Pa,0,0,0.9811563477509654,True
For The First Time In The History Need Comfort And Luxury Are Sold At Same Price In India OnionRs ltgt PetrolRs ltgt BeerRs ltgt SHESIL ltgt,0,0,0.954320534106105,True
No but you told me you were going before you got drunk,0,0,0.9793365507041542,True
Haha figures well I found the piece and priscillas bowl,0,0,0.9156907131682186,True
Ok i msg u b4 i leave my house,0,0,0.9338482960023006,True
We took hooch for a walk toaday and i fell over Splat Grazed my knees and everything Should have stayed at home See you tomorrow,0,0,0.9161550355491702,True
ready then call me,0,0,0.7924964823553978,True
Not really dude have no friends im afraid,0,0,0.9236438373799862,True
YES The only place in town to meet exciting adult singles is now in the UK Txt CHAT to 86688 now 150pMsg,1,1,0.9121771875782559,True
Kkare you in college,0,0,0.9154118445042678,True
Thats the thing with apes u can fight to the death to keep something but the minute they have it when u let go thats it,0,0,0.9288037463378102,True
I couldnt say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,0,0,0.9097947223516476,True
Omg how did u know what I ate,0,0,0.9444021280920535,True
Mmmmm It was sooooo good to wake to your words this morning my Love Mmmm fuck I love you too my Lion devouring kiss from across the sea,0,0,0.9173728843913798,True
Just woke up Yeesh its late But I didnt fall asleep til ltgt am,0,0,0.9770007544124278,True
Good evening How are you,0,0,0.9422741734671578,True
Forwarded from 448712404000Please CALL 08712404000 immediately as there is an urgent message waiting for you,1,1,0.8750594003023059,True
Been up to ne thing interesting Did you have a good birthday When are u wrking nxt I started uni today,0,0,0.8873918396054175,True
I am getting threats from your sales executive Shifad as i raised complaint against him Its an official message,0,0,0.6668382807801296,True
Yun buying But school got offer 2000 plus only,0,0,0.8345778881781605,True
Me i dont know again oh,0,0,0.9795966584606446,True
Ok Let u noe when i leave my house,0,0,0.9826659736783001,True
She was supposed to be but couldnt make it shes still in town though,0,0,0.9511103282590009,True
You can jot down things you want to remember later,0,0,0.940246276269483,True
Hey sorry I didntgive ya a a bellearlier hunny,0,0,0.9626030066412529,True
Last chance 2 claim ur 150 worth of discount vouchersText YES to 85023 nowSavaMobmember offers mobile T Cs 08717898035 300 Sub 16 Remove txt X or STOP,1,1,0.972252909927648,True
ITS A LAPTOP TAKE IT WITH YOU,0,0,0.9258452699893225,True
Hi im having the most relaxing time ever we have to get up at 7am every day was the party good the other night I get home tomorrow at 5ish,0,0,0.9426027716057199,True
He neva grumble but i sad lor Hee Buy tmr lor aft lunch But we still meetin 4 lunch tmr a not Neva hear fr them lei got a lot of work ar,0,0,0.9836220115021952,True
Princess i like to make love ltgt times per night Hope thats not a problem,0,0,0.9397123077520483,True
HCL chennai requires FRESHERS for voice processExcellent english neededSalary upto ltgt Call MsSuman ltgt for Telephonic interview via Indyarockscom,0,0,0.7803869594975192,True
How dare you change my ring,0,0,0.9497094602661725,True
Sorry Ill call you later I am in meeting sir,0,0,0.9766831599842927,True
Ive told you everything will stop Just dont let her get dehydrated,0,0,0.8824072627592245,True
Hi Mobile no ltgt has added you in their contact list on It s a great place to send free sms to people For more visit fullonsmscom,0,1,0.7603105109947443,False
Awesome plan to get here any time after like ltgt Ill text you details in a wee bit,0,0,0.9275184065845599,True
Todays Voda numbers ending 1225 are selected to receive a 50award If you have a match please call 08712300220 quoting claim code 3100 standard rates app,1,1,0.8808250362089122,True
No probs hon How u doinat the mo,0,0,0.8956144632510913,True
Vikky come around ltTIMEgt,0,0,0.9052384571707817,True
Sorry Ill call later In meeting,0,0,0.9404635100376724,True
Tell them the drug dealers getting impatient,0,0,0.9125276371038878,True
It didnt work again oh Ok goodnight then Ill fix and have it ready by the time you wake up You are very dearly missed have a good night sleep,0,0,0.9797191916661206,True
i dnt wnt to tlk wid u,0,0,0.7570172983556093,True
Yup i thk cine is better cos no need 2 go down 2 plaza mah,0,0,0.932425771020613,True
Yeah we can probably swing by once my roommate finishes up with his girl,0,0,0.9547274088920766,True
Thats cool i am a gentleman and will treat you with dignity and respect,0,0,0.913023507204147,True
Imagine Life WITHOUT ME see How fast u are searching meDont worry lm always there To disturb U Goodnoon,0,0,0.9343949940001155,True
Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday evei already see in netno ticket availablei want to book ticket through tackle,0,0,0.5806429682152419,True
My mobile numberpls sms ur mail idconvey regards to achanammaRakheshQatar,0,1,0.5661888845062921,False
U call me alter at 11 ok,0,0,0.8305906508083232,True
Get 3 Lions England tone reply lionm 4 mono or lionp 4 poly 4 more go 2 the original n best Tones 3GBP network operator rates apply,1,1,0.8269219647368811,True
Hi my love How goes that day Fuck this morning I woke and dropped my cell on the way down the stairs but it seems alright phews I miss you,0,0,0.9809600364873228,True
Reverse is cheating That is not mathematics,0,0,0.9438211271705251,True
